Categories,Exercise,Exercise Instructions (step by step),Exercise Tips,Primary Activating Muscles,Secondary Activating Muscles,Equipment
Bodyweight,45 Degree Bicycle Twisting_female,"1. Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform.
2. Place your left hand behind your head and your right hand on your waist.
3. Open your upper leg slightly and bend your knee while bringing your opposite elbow towards it.
4. Return to the initial position, and repeat. ","1. Keep your hips pressed on the hyperextension bench to engage your core muscles more effectively and protect your spine.
2. Avoid pulling on your neck with your hand; use your core to lift and twist, keeping your neck in a neutral position.
3. Perform the exercise slowly and deliberately to maximize muscle engagement and reduce the risk of strain.","Abdominals (rectus abdominis), Obliques (external and internal obliques)","Hip Flexors (iliopsoas), Quadriceps (Quadriceps Femoris)",Hyperextension Bench
Bodyweight,45 degree hyperextension (arms in front of chest)_female,"1. Fix your feet to the footrests and press your thighs against the padded platform.
2. Place your arms across your chest and lean forward.
3. Raise yourself by leaning backward and forming an upright position.
4. Hold for a while, return to the initial position, and repeat.
","1. Keep your movements slow and controlled to maintain proper form and maximize muscle engagement.
2. Avoid hyperextending your back; stop when your body forms a straight line to prevent strain on your lower back.
3. Engage your core muscles throughout the exercise to support your spine and maintain stability.","Lower Back (erector spinae), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (biceps femoris, semitendinosus, semimembranosus)",Hyperextension Bench
Bodyweight,45 degree hyperextension arms to chest,"1. Fix your feet to the footrests and press your thighs against the padded platform.
2. Place your arms across your chest and lean forward.
3. Raise yourself by leaning backward and forming an upright position.
4. Hold for a while, return to the initial position, and repeat.
","1. Keep your movements slow and controlled to maintain proper form and maximize muscle engagement.
2. Avoid hyperextending your back; stop when your body forms a straight line to prevent strain on your lower back.
3. Engage your core muscles throughout the exercise to support your spine and maintain stability.","Lower Back (erector spinae), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (biceps femoris, semitendinosus, semimembranosus)",Hyperextension Bench
Bodyweight,45 degree side bend,"1. Place your feet one after the other onto the footrests and support your thigh against the platform.
2. Place your hands behind your head and assume an upright position with a straight back.
3. Crunch your torso toward the platform and then to the other side.
4. Repeat while keeping yourself stable.","1. Maintain a steady and controlled pace to ensure proper form and prevent strain.
2. Focus on using your oblique muscles to lift your upper body, avoiding any jerking or sudden movements.
3. Keep your neck in a neutral position to avoid straining it during the exercise.",Obliques (external and internal obliques),"Abdominals (rectus abdominis), Lower Back (erector spinae)",Hyperextension Bench
Bodyweight,45 Degree Side Bend_female,"1. Place your feet one after the other onto the footrests and support your thigh against the platform.
2. Place your hands behind your head and assume an upright position with a straight back.
3. Crunch your torso toward the platform and then to the other side.
4. Repeat while keeping yourself stable.","1. Maintain a steady and controlled pace to ensure proper form and prevent strain.
2. Focus on using your oblique muscles to lift your upper body, avoiding any jerking or sudden movements.
3. Keep your neck in a neutral position to avoid straining it during the exercise.",Obliques (external and internal obliques),"Abdominals (rectus abdominis), Lower Back (erector spinae)",Hyperextension Bench
Bodyweight,45 degree twisting hyperextension,"1. Fix your feet to the footrests and press your thighs against the padded platform.
2. Place your hands behind your head and lean forward.
3. Raise yourself by leaning backward and twisting your torso to a side.
4. Hold for a while, return to the initial position, and repeat.","1. Perform the twisting motion smoothly and avoid jerking to prevent strain on your back.
2. Engage your core muscles throughout the exercise to maintain stability and support your spine.
3. Breathe steadily, exhaling as you lift and twist, and inhaling as you lower back down.","Lower Back (erector spinae), Obliques (external and internal obliques)","Abdominals (rectus abdominis), Glutes (gluteus maximus, gluteus mideus)",Hyperextension Bench
Bodyweight,45 degree twisting hyperextension_female,"1. Fix your feet to the footrests and press your thighs against the padded platform.
2. Place your hands behind your head and lean forward.
3. Raise yourself by leaning backward and twisting your torso to a side.
4. Hold for a while, return to the initial position, and repeat.","1. Perform the twisting motion smoothly and avoid jerking to prevent strain on your back.
2. Engage your core muscles throughout the exercise to maintain stability and support your spine.
3. Breathe steadily, exhaling as you lift and twist, and inhaling as you lower back down.","Lower Back (erector spinae), Obliques (external and internal obliques)","Abdominals (rectus abdominis), Glutes (gluteus maximus, gluteus mideus)",Hyperextension Bench
Bodyweight,45 degrees Step Out_female,"1. Stand with your feet shoulder-width apart keeping them bent to a half squat position.
2. Step your right foot out at a 45-degree angle to the side until your leg is completely straight.
3. Bring your right foot back to the starting position.
4. Repeat the movement with your left foot, continuing to alternate sides.","1. Keep your core engaged to maintain balance and stability throughout the movement.
2. Ensure your knees are aligned with your toes when you step out to protect your joints.
3. Perform the exercise with controlled movements to maximize muscle engagement and reduce the risk of injury.","Quadriceps (quadriceps femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (biceps femoris, semitendinosus, semimembranosus), Hip Abductors (gluteus medius, gluteus minimus)",None
Resistance,5 Sec Fist Against Chin_female,"1. Sit or stand upright with your feet shoulder-width apart, maintaining good posture. Make a fist with both hands and place them under your chin.
2. Apply gentle upward pressure with your fist against your chin, resisting with your neck muscles. Hold this position for 5 seconds.
3. Keep your neck and head steady, avoiding any movement while maintaining the pressure.
4. Release the pressure after 5 seconds and relax. Repeat the exercise for the desired number of repetitions.","1. Keep your jaw relaxed, avoiding clenching your teeth.
2. Focus on the resistance created by your fist and neck muscles rather than the amount of force applied.
3. Breathe normally throughout the exercise, avoiding holding your breath.","Neck Muscles (Sternocleidomastoid, Scalenes)",none,
Bodyweight,90 degree heel touch,"1. Lie down on your back with your hips and knees bent to 90 degrees and your arms extended overhead.
2. Raise your upper back and bring your arms forward to touch your heels.
3. Hold for a while, return to the initial position, and repeat.
","1. Keep your neck relaxed and avoid straining it by using your core muscles to lift your shoulders.
2. Ensure your lower back stays pressed into the mat to engage your core effectively and protect your spine.
3. Perform the exercise with controlled movements to maximize muscle engagement and reduce the risk of injury.","Abdominals (rectus abdominis), Obliques (external and internal obliques)",Hip Flexors (iliopsoas),None
Bodyweight,90 Degree Heels Touch_female,"1. Lie down on your back with your hips and knees bent to 90 degrees and your arms extended overhead.
2. Raise your upper back and bring your arms forward to touch your heels.
3. Hold for a while, return to the initial position, and repeat.
","1. Keep your neck relaxed and avoid straining it by using your core muscles to lift your shoulders.
2. Ensure your lower back stays pressed into the mat to engage your core effectively and protect your spine.
3. Perform the exercise with controlled movements to maximize muscle engagement and reduce the risk of injury.","Abdominals (rectus abdominis), Obliques (external and internal obliques)",Hip Flexors (iliopsoas),None
Bodyweight,90 to 90 Stretch_female,"1. Sit on the floor with both legs bent at 90 degrees. Position one leg in front of your body with your thigh and shin at a 90-degree angle, and the other leg to the side with your thigh and shin at a 90-degree angle with foot extending backwards.
2. Lean lightly forward keeping your arms on the floor and holding the stretch for a few seconds.
3. Switch the position of your legs to perform the stretch on the opposite side.","1. Keep your back straight as you lean forward to maximize the stretch and avoid straining your lower back.
2. Breathe deeply and steadily throughout the stretch to help relax your muscles.
3. Perform the stretch slowly and avoid bouncing or jerking movements to reduce the risk of injury.","Hip Rotators (gluteus medius, gluteus minimus, piriformis)","Hip Flexors (iliopsoas), Glutes (gluteus maximus, gluteus mideus)",None
Bodyweight,Ab Mat Sit-up_female,"1. Sit on the floor with a yoga mat placed under your lower back, knees bent facing outwards, and feet  on the floor touching together. Hands behind your head.
2. Lean back to lie down, keeping your arms behind your head.
3. Use your core muscles to sit your torso up, return to the starting position and repeat.","1. Engage your core muscles throughout the movement to maximize effectiveness and protect your lower back.
2. Avoid using momentum by performing the movement slowly and with control.
3. Keep your feet on the floor and your knees stable to maintain proper form.",Abdominals (rectus abdominis),Hip Flexors (iliopsoas),None
Bodyweight,Ab Tuck_female,"1. Start by hanging on a dip station, holding the parallel bars with your arms extended and your body straight.
2. Lift your knees towards your chest while lightly extending your hips backward, engaging your core muscles.
3. Extend your legs back downwards to starting position.
4. Repeat the movement.","1. Engage your core muscles throughout the exercise to maintain control and stability.
2. Perform the movement slowly and deliberately to avoid using momentum and maximize muscle engagement.
3. Keep your upper body stable and avoid swinging to ensure proper form.",Abdominals (rectus abdominis),Hip Flexors (iliopsoas),Dip Station
Bodyweight,AB Wheel All The Way out,"1. Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight.
2. Roll the ab wheel forward, extending your body into a straight line while keeping your core engaged and your hips slightly extended backward.
3. Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability.
4. Repeat the movement, extending fully and returning to the starting position each time.","1. Keep your core muscles engaged throughout the exercise to protect your lower back and maintain stability.
2. Perform the movement slowly and with control, avoiding using momentum to maximize muscle engagement.
3. Ensure your hips are slightly extended backward when rolling out to maintain proper form and prevent lower back strain.",Abdominals (rectus abdominis),"Hip Flexors (iliopsoas), Shoulders (deltoids)",Ab wheel
Bodyweight,AB Wheel All The Way out_Female,"1. Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight.
2. Roll the ab wheel forward, extending your body into a straight line while keeping your core engaged and your hips slightly extended backward.
3. Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability.
4. Repeat the movement, extending fully and returning to the starting position each time.","1. Keep your core muscles engaged throughout the exercise to protect your lower back and maintain stability.
2. Perform the movement slowly and with control, avoiding using momentum to maximize muscle engagement.
3. Ensure your hips are slightly extended backward when rolling out to maintain proper form and prevent lower back strain.",Abdominals (rectus abdominis),"Hip Flexors (iliopsoas), Shoulders (deltoids)",Ab wheel
Bodyweight,AB Wheel Halfway out,"1. Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight.
2. Roll the ab wheel forward, extending your body halfway while keeping your core engaged and your hips slightly extended backward.
3. Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability.
4. Repeat the movement, extending halfway and returning to the starting position each time.","1. Keep your core muscles engaged throughout the exercise to protect your lower back and maintain stability.
2. Perform the movement slowly and with control, avoiding using momentum to maximize muscle engagement.
3. Ensure your hips are slightly extended backward when rolling out to maintain proper form and prevent lower back strain.",Abdominals (rectus abdominis),"Hip Flexors (iliopsoas), Shoulders (deltoids)",Ab wheel
Bodyweight,AB Wheel Halfway out_Female,"1. Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight.
2. Roll the ab wheel forward, extending your body halfway while keeping your core engaged and your hips slightly extended backward.
3. Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability.
4. Repeat the movement, extending halfway and returning to the starting position each time.","1. Keep your core muscles engaged throughout the exercise to protect your lower back and maintain stability.
2. Perform the movement slowly and with control, avoiding using momentum to maximize muscle engagement.
3. Ensure your hips are slightly extended backward when rolling out to maintain proper form and prevent lower back strain.",Abdominals (rectus abdominis),"Hip Flexors (iliopsoas), Shoulders (deltoids)",Ab wheel
Bodyweight,AB Wheel Left out,"1. Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight.
2. Roll the ab wheel forward and to the left, extending your body into a partial straight line while keeping your core engaged and your hips slightly extended backward.
3. Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability.
4. Repeat the movement, rolling out to the left and returning to the starting position each time.","1. Avoid overextending and roll out only as far as you can maintain control. Overextending can place unnecessary strain on your lower back and shoulders.
2. Breathe steadily. Inhale as you roll out and exhale as you roll back in. Proper breathing helps maintain core engagement and stability.
3. Ensure your hips are slightly extended backward when rolling out to maintain proper form and prevent lower back strain.","Abdominals (rectus abdominis), Obliques (external and internal obliques)","Hip Flexors (iliopsoas), Shoulders (deltoids)",Ab wheel
Bodyweight,AB Wheel Left out_Female,"1. Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight.
2. Roll the ab wheel forward and to the left, extending your body into a partial straight line while keeping your core engaged and your hips slightly extended backward.
3. Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability.
4. Repeat the movement, rolling out to the left and returning to the starting position each time.","1. Avoid overextending and roll out only as far as you can maintain control. Overextending can place unnecessary strain on your lower back and shoulders.
2. Breathe steadily. Inhale as you roll out and exhale as you roll back in. Proper breathing helps maintain core engagement and stability.
3. Ensure your hips are slightly extended backward when rolling out to maintain proper form and prevent lower back strain.","Abdominals (rectus abdominis), Obliques (external and internal obliques)","Hip Flexors (iliopsoas), Shoulders (deltoids)",Ab wheel
Bodyweight,Ab Wheel Plank,"1. Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight.
2. Roll the ab wheel forward until your body is in a plank position, with your arms extended and your body forming a straight line from head to knees.
3. Hold the plank position, keeping your core engaged and your body stable, as long as required.
4. Roll the ab wheel back to the starting position.","1. Keep your spine neutral and avoid letting your lower back sag. This helps protect your spine and ensures proper form.
2. Focus on engaging your entire core, including your abdominals, obliques, and lower back, to maintain stability.
3. Roll out and back in with controlled movements to maximize muscle engagement and minimize the risk of injury.",Abdominals (rectus abdominis),"Obliques (external and internal obliques), Hip Flexors (iliopsoas)",Ab wheel
Bodyweight,Ab Wheel Plank_Female,"1. Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight.
2. Roll the ab wheel forward until your body is in a plank position, with your arms extended and your body forming a straight line from head to knees.
3. Hold the plank position, keeping your core engaged and your body stable, as long as required.
4. Roll the ab wheel back to the starting position.","1. Keep your spine neutral and avoid letting your lower back sag. This helps protect your spine and ensures proper form.
2. Focus on engaging your entire core, including your abdominals, obliques, and lower back, to maintain stability.
3. Roll out and back in with controlled movements to maximize muscle engagement and minimize the risk of injury.",Abdominals (rectus abdominis),"Obliques (external and internal obliques), Hip Flexors (iliopsoas)",Ab wheel
Bodyweight,AB Wheel Pulses,"1. Start by lying on the floor with your arms extended overhead, holding the ab wheel with both hands.
2. Engage your core by lifting your upper body off the floor slightly, performing a small crunch while keeping your arms extended and the ab wheel overhead.
3. Perform small pulsing crunches, lifting and lowering your upper body slightly while maintaining tension in your core.
4. Continue the pulsing movement for the desired number of repetitions, keeping your arms extended and the ab wheel steady.","1. Keep your movements small and controlled to maintain tension on your core muscles.
2. Focus on maintaining a neutral spine and avoiding any strain on your neck by using your core to lift your upper body.
3. Breathe steadily, exhaling as you lift into the crunch and inhaling as you lower back down.",Abdominals (rectus abdominis),Obliques (external and internal obliques),Ab wheel
Bodyweight,AB Wheel Pulses_Female,"1. Start by lying on the floor with your arms extended overhead, holding the ab wheel with both hands.
2. Engage your core by lifting your upper body off the floor slightly, performing a small crunch while keeping your arms extended and the ab wheel overhead.
3. Perform small pulsing crunches, lifting and lowering your upper body slightly while maintaining tension in your core.
4. Continue the pulsing movement for the desired number of repetitions, keeping your arms extended and the ab wheel steady.","1. Keep your movements small and controlled to maintain tension on your core muscles.
2. Focus on maintaining a neutral spine and avoiding any strain on your neck by using your core to lift your upper body.
3. Breathe steadily, exhaling as you lift into the crunch and inhaling as you lower back down.",Abdominals (rectus abdominis),Obliques (external and internal obliques),Ab wheel
Bodyweight,AB Wheel Right out,"1. Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight.
2. Roll the ab wheel forward and to the right, extending your body into a partial straight line while keeping your core engaged and your hips slightly extended backward.
3. Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability.
4. Repeat the movement, rolling out to the right and returning to the starting position each time.","1. Avoid overextending and roll out only as far as you can maintain control. Overextending can place unnecessary strain on your lower back and shoulders.
2. Breathe steadily. Inhale as you roll out and exhale as you roll back in. Proper breathing helps maintain core engagement and stability.
3. Ensure your hips are slightly extended backward when rolling out to maintain proper form and prevent lower back strain.","Abdominals (rectus abdominis), Obliques (external and internal obliques)","Hip Flexors (iliopsoas), Shoulders (deltoids)",Ab wheel
Bodyweight,AB Wheel Right out_Female,"1. Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight.
2. Roll the ab wheel forward and to the right, extending your body into a partial straight line while keeping your core engaged and your hips slightly extended backward.
3. Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability.
4. Repeat the movement, rolling out to the right and returning to the starting position each time.","1. Avoid overextending and roll out only as far as you can maintain control. Overextending can place unnecessary strain on your lower back and shoulders.
2. Breathe steadily. Inhale as you roll out and exhale as you roll back in. Proper breathing helps maintain core engagement and stability.
3. Ensure your hips are slightly extended backward when rolling out to maintain proper form and prevent lower back strain.","Abdominals (rectus abdominis), Obliques (external and internal obliques)","Hip Flexors (iliopsoas), Shoulders (deltoids)",Ab wheel
Free Weights,AB Wheel Take it or Leave It,"1. Lie on your back with your legs bent at 90 degrees and your feet off the floor, forming a tabletop position. Hold the AB wheel overhead with both hands, keeping your arms straight.
2. Engage your core and lift your chest towards your knees to perform a crunch, bringing the AB wheel towards your shins.
3. Place the AB wheel gently on your shins and lower your upper body back to the floor, keeping your legs in the tabletop position.
4. Perform another crunch, reaching up to grab the AB wheel from your shins, and then lower your upper body back to the floor. Repeat for the desired number of repetitions.","1. Ensure your legs remain bent at 90 degrees and your shins stay parallel to the floor throughout the exercise.
2. Avoid using momentum to lift your upper body; focus on using your abdominal muscles.
3. Perform the exercise on a comfortable, non-slip surface to ensure safety and reduce discomfort.",Abdominals (Rectus Abdominis),Hip Flexors (Iliopsoas),Ab roller
Free Weights,AB Wheel Take it or Leave It_Female,"1. Lie on your back with your legs bent at 90 degrees and your feet off the floor, forming a tabletop position. Hold the AB wheel overhead with both hands, keeping your arms straight.
2. Engage your core and lift your chest towards your knees to perform a crunch, bringing the AB wheel towards your shins.
3. Place the AB wheel gently on your shins and lower your upper body back to the floor, keeping your legs in the tabletop position.
4. Perform another crunch, reaching up to grab the AB wheel from your shins, and then lower your upper body back to the floor. Repeat for the desired number of repetitions.","1. Ensure your legs remain bent at 90 degrees and your shins stay parallel to the floor throughout the exercise.
2. Avoid using momentum to lift your upper body; focus on using your abdominal muscles.
3. Perform the exercise on a comfortable, non-slip surface to ensure safety and reduce discomfort.",Abdominals (Rectus Abdominis),Hip Flexors (Iliopsoas),Ab roller
Bodyweight,Abdominal crunches,"1. Lie on your back with knees slightly bent, feet placed on the floor and arms raised to the shoulder height.
2. Squeeze your abdominals and lift your upper back off the floor, reaching forward with your arms
3. Hold for few seconds and slowly return to the starting position.","1. Keep your neck relaxed and avoid pulling on it with your hands to prevent strain.
2. Focus on engaging your core muscles throughout the movement to maximize effectiveness.
3. Breathe steadily, exhaling as you lift into the crunch and inhaling as you lower back down.",Abdominals (rectus abdominis),Obliques (external and internal obliques),None
Resistance,Abdominal Crunches Machine,"1. Adjust the seat and resistance to your desired settings on the abdominal crunch machine. Sit on the seat and position your feet securely on the footrests.
2. Grab the handles, ensuring your elbows are pointed forward.
3. Engage your core muscles and crunch your abdominals by pulling your upper body forward and curling your chest towards your knees.
4. Hold the crunch for a second, then slowly return to the starting position with control. Repeat for the desired number of repetitions.","1. Exhale as you crunch forward and inhale as you return to the starting position.
2. Avoid using momentum; focus on engaging your abdominal muscles throughout the exercise.
3. Ensure your lower back remains in contact with the backrest of the machine.",Abdominals (Rectus Abdominis),Obliques (Internal and External Obliques),None
Bodyweight,Abdominal crunches with hold,"1. Lie on your back with knees slightly bent and feet placed on the floor.
2. Inhale and try reaching forward with straight arms while lifting your upper back off the floor.                                                                   3. Hold the end position for few seconds and slowly return to the starting position.","1. Keep your neck relaxed and avoid pulling on it with your hands to prevent strain.
2. Focus on engaging your core muscles throughout the movement to maximize effectiveness.
3. Hold the crunch position for a count of two to five seconds to increase muscle activation and endurance.",Abdominals (rectus abdominis),Obliques (external and internal obliques),None
Bodyweight,Abdominal stretch,"1. Sit on the floor with your knees bent and drawn towards your chest.
2. Wrap your arms around your knees, hugging them tightly.
3. Hold the stretch in this position, allowing your back to round slightly and your head to relax forward.
4. After holding the stretch for the desired amount of time, release your arms and return to a neutral sitting position.","1. Keep your shoulders relaxed and avoid hunching them up towards your ears.
2. Breathe deeply and steadily throughout the stretch to help relax your muscles.
3. Perform the stretch slowly and avoid any sudden movements to prevent strain.",Abdominals (rectus abdominis),"Hip Flexors (iliopsoas), Lower Back (erector spinae)",None
